Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,65.459999,68.309998,65.139999,67.830002,62.703144,141025600
2017-04-27,68.150002,69.709999,67.580002,69.080002,63.858658,159308300
2017-05-04,69.029999,69.559998,68.419998,69.309998,64.071259,100280500
2017-05-11,68.360001,69.440002,67.430000,67.480003,62.379593,144538600
2017-05-18,67.400002,68.879997,67.139999,68.769997,63.936470,98419700
2017-05-25,68.970001,70.739998,68.910004,69.839996,64.931274,89191200
2017-06-01,70.239998,72.889999,69.449997,72.389999,67.302078,143503600
2017-06-08,72.510002,72.519997,68.129997,70.269997,65.331055,172306700
2017-06-15,69.269997,70.940002,68.800003,70.269997,65.331055,139615400
2017-06-22,70.540001,71.709999,68.790001,69.800003,64.894081,121211300
2017-06-29,69.379997,69.599998,68.019997,69.080002,64.224693,90421600
2017-07-06,68.269997,71.279999,68.120003,71.150002,66.149200,88221300
2017-07-13,71.500000,74.040001,71.309998,73.860001,68.668709,116793300
2017-07-20,74.180000,74.379997,73.129997,74.050003,68.845375,148743800
2017-07-27,73.760002,74.419998,71.440002,72.260002,67.181183,127382500
2017-08-03,72.190002,73.129997,71.750000,72.470001,67.376427,103757100
2017-08-10,71.900002,74.099998,71.279999,73.650002,68.473473,103606600
2017-08-17,73.580002,73.870003,71.699997,72.720001,67.969055,87584000
2017-08-24,72.739998,74.209999,72.050003,74.010002,69.174782,72838500
2017-08-31,74.029999,74.959999,72.980003,73.400002,68.604637,87480800
2017-09-07,73.680000,75.239998,73.599998,75.209999,70.296379,77861100
2017-09-14,75.000000,75.970001,74.070000,74.940002,70.044029,115300500
2017-09-21,75.110001,75.239998,72.919998,73.849998,69.025230,95031400
2017-09-28,73.540001,75.010002,73.309998,74.690002,69.810349,68775800
2017-10-05,75.220001,76.629997,74.959999,76.419998,71.427315,75875000
2017-10-12,76.489998,77.870003,76.370003,77.610001,72.539597,74717000
2017-10-19,77.570000,79.339996,77.349998,78.629997,73.492958,96514400
2017-10-26,79.199997,86.199997,78.750000,83.180000,77.745682,184338100
2017-11-02,83.349998,84.900002,83.120003,84.559998,79.035530,97461200
2017-11-09,84.110001,84.269997,82.690002,82.980003,77.558739,92957500
2017-11-16,83.099998,83.900002,82.239998,83.110001,78.070374,101147400
2017-11-23,83.010002,85.059998,82.779999,83.339996,78.286415,74997900
2017-11-30,83.510002,84.809998,80.699997,82.779999,77.760391,153996000
2017-12-07,82.540001,86.050003,82.000000,85.349998,80.174553,116518300
2017-12-14,85.430000,87.500000,84.529999,85.519997,80.334251,142726200
2017-12-21,86.050003,86.099998,84.919998,85.709999,80.512711,56705700
2017-12-28,85.900002,86.510002,85.500000,86.349998,81.113922,77856900
2018-01-04,86.589996,88.730003,86.570000,87.820000,82.494774,105568600
2018-01-11,88.129997,90.790001,87.239998,90.139999,84.674080,104301300
2018-01-18,89.800003,93.430000,89.660004,91.820000,86.252228,141326600
2018-01-25,92.470001,95.449997,91.930000,95.010002,89.248795,174516700
2018-02-01,94.790001,96.070000,85.250000,89.610001,84.176239,255233400
2018-02-08,89.709999,90.989998,83.830002,90.809998,85.303490,216216700
2018-02-15,91.209999,93.500000,90.620003,91.489998,86.345924,116255000
2018-02-22,92.050003,95.839996,91.360001,93.769997,88.497742,137958200
2018-03-01,93.989998,94.570000,90.860001,93.860001,88.582687,142759500
2018-03-08,94.269997,97.239998,93.500000,93.849998,88.573250,156418600
2018-03-15,93.529999,95.379997,92.110001,92.480003,87.280266,157568700
2018-03-22,91.269997,95.139999,87.080002,89.389999,84.364021,248140500
2018-03-29,90.180000,92.760002,87.510002,92.330002,87.138718,167156700
2018-04-05,92.440002,93.290001,89.480003,91.860001,86.695145,151015900
2018-04-12,92.430000,96.720001,92.430000,96.440002,91.017624,118207400
2018-04-19,96.440002,97.070000,90.279999,92.309998,87.119843,145292800
2018-04-26,93.550003,97.900002,92.790001,93.510002,88.252373,191205300
2018-05-03,92.959999,96.970001,92.449997,96.940002,91.489525,128727800
2018-05-10,97.459999,98.690002,96.339996,97.150002,91.687721,100599200
2018-05-17,96.760002,98.730003,95.830002,98.660004,93.516388,91227400
2018-05-24,98.730003,99.250000,96.809998,98.949997,93.791267,95842700
2018-05-31,99.290001,102.599998,98.610001,102.489998,97.146721,134715400
2018-06-07,102.650002,102.690002,100.379997,100.849998,95.592216,121706300
2018-06-14,101.650002,102.519997,99.419998,101.870003,96.559059,169850300
2018-06-21,102.080002,102.459999,97.300003,97.540001,92.454788,155750200
2018-06-28,97.379997,100.629997,97.260002,99.050003,93.886055,88938700
2018-07-05,99.500000,102.510002,99.029999,101.980003,96.663307,95361700
2018-07-12,102.769997,106.500000,102.730003,105.120003,99.639603,126153600
2018-07-19,104.930000,111.150002,103.889999,110.830002,105.051949,182901300
2018-07-26,110.739998,111.000000,104.760002,106.279999,100.739120,154329600
2018-08-02,105.400002,109.750000,104.839996,109.489998,103.781761,96597500
2018-08-09,109.709999,110.160004,106.820000,107.660004,102.047188,97104500
2018-08-16,108.300003,108.860001,105.779999,107.059998,101.868988,98242500
2018-08-23,107.150002,112.029999,106.870003,112.019997,106.588486,95033500
2018-08-30,111.669998,112.779999,108.099998,108.489998,103.229652,101528400
2018-09-06,108.250000,111.849998,107.230003,111.709999,106.293510,109897000
2018-09-13,112.120003,113.730003,111.040001,111.699997,106.284004,109813700
2018-09-20,112.279999,115.290001,111.930000,113.980003,108.453453,164298700
2018-09-27,114.779999,116.180000,113.680000,115.169998,109.585739,97057400
2018-10-04,114.610001,114.760002,105.790001,106.160004,101.012642,181106100
2018-10-11,105.349998,111.809998,104.199997,110.709999,105.342003,201872900
2018-10-18,110.099998,110.860001,101.589996,102.320000,97.358810,199505500
2018-10-25,106.550003,109.269997,100.110001,106.809998,101.631096,288745200
2018-11-01,107.050003,112.239998,104.980003,111.959999,106.531380,161228400
2018-11-08,111.800003,112.209999,104.470001,104.970001,99.880310,166174800
2018-11-15,104.989998,108.879997,99.349998,103.110001,98.534348,208964300
2018-11-22,102.169998,111.330002,102.000000,111.120003,106.188904,122072300
2018-11-29,110.330002,113.419998,108.209999,108.519997,103.704277,141718600
2018-12-06,105.820000,111.269997,103.889999,109.080002,104.239418,213518700
2018-12-13,109.580002,110.870003,101.349998,103.690002,99.088615,252851200
2018-12-20,103.050003,104.309998,93.959999,100.559998,96.097504,277146300
2018-12-27,99.300003,102.410004,96.400002,101.120003,96.632660,156197900
2019-01-03,100.099998,104.879997,97.199997,104.269997,99.642876,186091000
2019-01-10,103.220001,106.260002,101.260002,105.379997,100.703613,148260400
2019-01-17,105.000000,107.900002,104.760002,106.709999,101.974594,124066200
2019-01-24,106.860001,107.879997,102.169998,106.379997,101.659233,164829500
2019-01-31,103.800003,107.269997,102.349998,106.029999,101.324768,170422400
2019-02-07,105.190002,107.779999,104.260002,106.809998,102.070152,113587400
2019-02-14,106.309998,108.660004,105.660004,107.150002,102.395065,88037800
2019-02-21,106.900002,113.239998,106.870003,112.169998,107.650078,123600800
2019-02-28,112.040001,113.250000,110.800003,111.750000,107.247017,116418400
2019-03-07,111.400002,115.000000,108.800003,114.500000,109.886192,136295500
2019-03-14,114.540001,118.750000,114.330002,117.519997,112.784508,182354100
2019-03-21,117.139999,120.820000,115.519997,116.769997,112.064728,139377100
2019-03-28,117.440002,120.430000,116.129997,119.970001,115.135780,107526700
2019-04-04,120.099998,120.349998,118.379997,120.190002,115.346924,85144400
2019-04-11,120.540001,121.849998,119.919998,121.769997,116.863251,83119500
2019-04-18,122.190002,125.849998,121.300003,125.010002,119.972687,98922200
2019-04-25,130.059998,131.369995,127.699997,127.879997,122.727036,129001200
2019-05-02,127.980003,129.429993,124.220001,125.510002,120.452553,140937800
2019-05-09,124.290001,127.930000,123.040001,126.019997,120.941971,142084800
2019-05-16,126.750000,130.460007,125.760002,127.669998,122.979057,110279400
2019-05-23,126.199997,128.000000,124.040001,124.940002,120.349365,83618700
2019-05-30,125.260002,125.870003,119.010002,125.830002,121.206673,135768700
2019-06-06,126.440002,134.240005,125.599998,131.490005,126.658707,122827900
2019-06-13,131.979996,135.929993,131.559998,135.690002,130.704391,99219200
2019-06-20,137.449997,138.399994,132.729996,133.929993,129.009079,147384400
2019-06-27,134.139999,137.740005,133.160004,137.460007,132.409378,98081100
2019-07-04,135.940002,138.580002,135.369995,137.850006,132.784988,79078300
2019-07-11,138.199997,139.539993,136.220001,136.270004,131.263107,100853300
2019-07-18,135.550003,140.740005,134.669998,140.720001,135.549576,143222000
2019-07-25,140.429993,141.679993,135.080002,136.270004,131.263107,109445700
2019-08-01,137.000000,140.940002,130.779999,135.279999,130.309433,180209900
2019-08-08,136.600006,139.380005,133.669998,133.979996,129.057220,129129400
2019-08-15,134.389999,139.490005,132.250000,138.789993,134.135651,113020300
2019-08-22,138.660004,139.199997,132.800003,135.559998,131.014008,118013600
2019-08-29,137.250000,139.179993,135.699997,137.630005,133.014557,80974000
2019-09-05,139.110001,140.380005,134.509995,136.119995,131.555176,126329700
2019-09-12,137.850006,138.669998,135.660004,138.520004,133.874725,108900800
2019-09-19,140.300003,142.369995,136.029999,139.360001,134.686554,143233900
2019-09-26,139.440002,140.360001,133.580002,134.649994,130.134506,109203500
2019-10-03,134.949997,138.699997,133.220001,138.240005,133.604126,107634700
2019-10-10,138.490005,141.789993,138.250000,140.410004,135.701324,96852200
2019-10-17,140.949997,141.419998,135.610001,137.240005,132.637650,131087900
2019-10-24,139.389999,145.669998,138.669998,144.610001,139.760468,137355200
2019-10-31,144.899994,145.020004,142.970001,144.059998,139.228897,109471500
2019-11-07,143.839996,147.570007,143.759995,147.309998,142.369949,84442800
2019-11-14,147.020004,151.330002,147.000000,149.619995,144.602493,114382000
2019-11-21,149.399994,152.500000,148.500000,152.320007,147.712845,96703300
2019-11-28,152.100006,152.300003,146.649994,149.850006,145.317596,81036400
2019-12-05,150.050003,152.210007,149.479996,151.699997,147.111603,86292700
2019-12-12,151.649994,155.899994,151.020004,154.369995,149.700867,122156500
2019-12-19,154.000000,158.490005,153.750000,157.380005,152.619843,105143800
2019-12-26,157.559998,159.550003,156.449997,157.699997,152.930130,67651200
2020-01-02,158.779999,160.800003,156.509995,160.089996,155.247818,113932600
2020-01-09,161.839996,163.940002,161.029999,163.179993,158.244385,108632700
2020-01-16,164.350006,168.190002,164.029999,165.699997,160.688156,111893100
2020-01-23,166.190002,168.750000,160.199997,168.039993,162.957367,136331400
2020-01-30,174.050003,184.199997,169.580002,179.899994,174.458649,193466800
2020-02-06,180.970001,190.699997,180.059998,184.710007,179.123169,197347600
2020-02-13,183.080002,188.179993,182.649994,187.279999,181.615402,116235000
2020-02-20,186.949997,187.250000,163.229996,170.169998,165.473709,278025500
2020-02-27,163.320007,175.000000,152.000000,170.550003,165.843201,382709800
2020-03-05,166.050003,170.869995,150.000000,153.630005,149.390152,312783700
2020-03-12,145.300003,161.910004,135.000000,140.399994,136.525269,436512700
2020-03-19,142.770004,154.330002,132.520004,146.919998,142.865356,407919000
2020-03-26,148.399994,164.779999,148.369995,152.110001,147.912125,320927800
2020-04-02,151.860001,170.000000,150.360001,165.130005,160.572784,269072900
2020-04-09,166.360001,173.750000,162.300003,171.880005,167.136490,187105500
2020-04-16,174.300003,180.000000,166.110001,173.520004,168.731232,230738700
2020-04-23,174.110001,177.679993,169.389999,177.429993,172.533325,185942100
2020-04-30,180.000000,184.199997,173.800003,182.539993,177.502335,192597800
2020-05-07,184.169998,187.509995,176.539993,179.750000,174.789307,166836200
2020-05-14,177.539993,187.059998,175.679993,185.660004,180.536179,181809200
2020-05-21,185.399994,186.669998,176.600006,181.809998,177.284805,125537100
2020-05-28,180.740005,185.940002,180.380005,185.360001,180.746490,156668600
2020-06-04,184.300003,198.520004,182.009995,196.839996,191.940720,175523200
2020-06-11,193.130005,196.320007,184.009995,194.240005,189.405472,197243000
2020-06-18,194.000000,203.949997,194.000000,197.839996,192.915878,167979600
2020-06-25,197.800003,206.350006,193.550003,204.699997,199.605118,175552800
2020-07-02,205.679993,214.669998,205.000000,212.830002,207.532791,128414100
2020-07-09,216.330002,216.380005,202.029999,208.039993,202.861984,167206100
2020-07-16,205.399994,213.940002,201.389999,211.750000,206.479630,186056900
2020-07-23,207.190002,210.919998,197.509995,204.059998,198.981033,180328900
2020-07-30,201.000000,217.639999,199.009995,212.940002,207.640030,233193100
2020-08-06,212.339996,216.369995,203.139999,209.190002,203.983368,161653300
2020-08-13,209.440002,212.360001,207.509995,209.699997,204.480652,109696400
2020-08-20,209.539993,222.089996,208.910004,221.149994,216.166962,151335400
2020-08-27,222.889999,232.860001,219.399994,231.649994,226.430374,172475600
2020-09-03,229.270004,229.309998,202.199997,211.289993,206.529144,216667700
2020-09-10,213.399994,214.740005,201.240005,205.050003,200.429718,147609400
2020-09-17,200.050003,208.100006,196.250000,200.589996,196.070236,193397200
2020-09-24,199.850006,212.570007,199.199997,210.330002,205.590759,150695700
2020-10-01,213.490005,213.990005,204.820007,209.830002,205.102051,135880200
2020-10-08,210.509995,225.210007,208.320007,220.860001,215.883484,139217700
2020-10-15,217.100006,222.300003,213.089996,214.800003,209.960052,121895200
2020-10-22,213.929993,216.339996,202.100006,202.679993,198.113113,166238600
2020-10-29,204.070007,218.320007,199.619995,216.389999,211.514206,169052300
2020-11-05,222.039993,228.119995,209.720001,216.550003,211.670593,179192900
2020-11-12,217.210007,219.110001,210.929993,211.080002,206.323868,117695200
2020-11-19,211.380005,215.289993,208.160004,213.869995,209.598297,128311900
2020-11-26,214.850006,217.320007,210.839996,215.369995,211.068359,102206000
2020-12-03,214.610001,216.949997,211.210007,211.800003,207.569656,130131600
2020-12-10,211.770004,220.110001,209.110001,219.279999,214.900253,148535000
2020-12-17,219.869995,225.630005,216.020004,221.020004,216.605499,174364400
2020-12-24,221.419998,227.179993,221.199997,221.679993,217.252289,66159600
2020-12-31,221.699997,223.000000,211.940002,212.250000,208.010666,117825900
2021-01-07,214.039993,220.580002,213.320007,216.339996,212.018936,117018400
2021-01-14,215.910004,225.789993,212.029999,224.339996,219.859192,129485500
2021-01-21,224.699997,240.440002,222.419998,232.899994,228.248230,213074400
2021-01-28,235.610001,245.089996,231.350006,243.000000,238.146484,178002900
2021-02-04,242.660004,245.919998,240.369995,242.820007,237.970093,111314500
2021-02-11,244.779999,246.130005,240.940002,244.199997,239.322525,80694200
2021-02-18,241.800003,243.929993,228.729996,234.550003,230.394684,135203500
2021-02-25,232.080002,237.470001,227.259995,227.559998,223.528534,159527400
2021-03-04,226.740005,237.000000,224.259995,232.419998,228.302414,184695300
2021-03-11,234.960007,240.059998,231.809998,237.039993,232.840561,136250500
2021-03-18,232.559998,241.050003,229.350006,235.460007,231.288544,168649200
2021-03-25,235.300003,239.100006,231.100006,235.770004,231.593063,153184800
2021-04-01,238.470001,250.929993,238.050003,249.899994,245.472717,112900300
2021-04-08,252.770004,259.190002,252.000000,255.589996,251.061935,122009100
